birth,brand,code,explain,firm_import,firm_madein,image_link,made_in,material,material2,now_price,origin_price,product,star_score,target
상세페이지참조,FIFTY POT,300244810,[FIFTY POT X MOHAN] STRING MIDI APRON DRESS (DEEP NAVY),(주)더블유컨셉코리아 / 1566-5027,FIFTY POT X MOHAN / KOREA,nan,상세페이지참조,"54% COTTON, 43% POLYESTER, 03% SPAN",FIFTY POT X MOHAN,"141,550","149,000",키친소품,0,LIFE
2019-10-16,filobisknot,300766445,KNIT ZIP-UP BLOUSON_BLACK,filobisknot,filobisknot / KOREA,nan,KOREA,"ACRYLIC 75% , POLYESTER 22% , SPAN 3%","ACRYLIC 75% , POLYESTER 22% , SPAN 3%","71,520","149,000",JUMPERS,0,MEN
2019-09-01,FORMYSIS,300763322,빈티지버튼,FORMYSIS,FORMYSIS / KOREA,nan,KOREA,N16/C84,N16/C84,"475,000","500,000",MAXIS,0,WOMEN
2018-09-01,filobisknot,300520765,raglan sleeve coloring knit_BLACK,filobisknot,filobisknot / KOREA,nan,KOREA,"Acrylic=70%,Wool=30%","Acrylic=70%,Wool=30%","42,900","78,000",PULLOVER,0,MEN
2019-10-16,filobisknot,300766438,KNIT ZIP-UP BLOUSON_IVORY,filobisknot,filobisknot / KOREA,nan,KOREA,"ACRYLIC 75% , POLYESTER 22% , SPAN 3%","ACRYLIC 75% , POLYESTER 22% , SPAN 3%","71,520","149,000",JUMPERS,0,MEN
2019-09-01,FORMYSIS,300763330,하울퍼프,FORMYSIS,FORMYSIS / KOREA,nan,KOREA,POLY100,POLY100,"627,000","660,000",MAXIS,0,WOMEN
2019-09-01,FORMYSIS,300763336,레트로진주버튼,FORMSIS,FORMSIS / KOREA,nan,KOREA,N65/C35,N65/C35,"494,000","520,000",MAXIS,0,WOMEN
2017-08-30,FOSSA,300721569,DANNIE JEANS FJ02-STR2-DD01,㈜제이앤와이컴퍼니,㈜제이앤와이컴퍼니 / KOREA,nan,KOREA,cotton 100%,cotton 100%,"58,000","116,000",STRAIGHT,0,WOMEN
2017-08-30,FOSSA,300721573,JAMES ASH BLUE FJ03-STR2-MD01,㈜제이앤와이컴퍼니,㈜제이앤와이컴퍼니 / KOREA,nan,KOREA,cotton 100%,cotton 100%,"78,000","156,000",JACKET,0,WOMEN
2017-08-30,FOSSA,300721570,DUST JEANS FJ02-STR2-BK01,㈜제이앤와이컴퍼니,㈜제이앤와이컴퍼니 / KOREA,nan,KOREA,cotton 100%,cotton 100%,"58,000","116,000",STRAIGHT,0,WOMEN
2019-07-31,FORMYSIS,300724822,프린세스벌룬,formysis,formysis / KOREA,nan,KOREA,polyester100%,polyester100%,"551,000","580,000",MAXIS,0,WOMEN
2017-08-30,FOSSA,300721574,JAMES BLACK FJ03-STR2-BK01,㈜제이앤와이컴퍼니,㈜제이앤와이컴퍼니 / KOREA,nan,KOREA,cotton 100%,cotton 100%,"78,000","156,000",JACKET,0,WOMEN
2019-09-01,FORMYSIS,300763351,레이스퍼프,FORMSIS,FORMSIS / KOREA,nan,KOREA,CNT75/NY25,CNT75/NY25,"503,500","530,000",MAXIS,0,WOMEN
상세페이지참조,FIFTY POT,300244804,[FIFTY POT X MOHAN] WRAP AROUND APRON SKIRT (DARK BEIGE),(주)더블유컨셉코리아 / 1566-5027,FIFTY POT X MOHAN / KOREA,nan,상세페이지참조,"54% COTTON, 43% POLYESTER, 03% SPAN",FIFTY POT X MOHAN,"84,550","89,000",키친소품,0,LIFE
2017-08-30,FOSSA,300721567,MOON CROPPED JEANS FJ02-STR2-MD02,㈜제이앤와이컴퍼니,㈜제이앤와이컴퍼니 / KOREA,nan,KOREA,cotton 100%,cotton 100%,"54,000","108,000",CROPPED,0,WOMEN
2019-01-07,FAYRI,300582283,Joe's Boyfriend Shirt Jacket (Mulbskin),FAYRI,FAYRI / KOREA,nan,KOREA,"50% HAUNJI LEATHER, 50% POLYESTER","50% HAUNJI LEATHER, 50% POLYESTER","255,000","300,000",JACKET,0,WOMEN
2019-09-01,FAYEWOO,300740645,Applilque Skirt,FAYEWOO,FAYEWOO / KOREA,nan,KOREA,"WOOL 70%, NYLON 30%","WOOL 70%, NYLON 30%","179,000","358,000",MIDDLE-LENGTH SKIRT,0,WOMEN
